Id,1th,2th,3th,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21th,22th,23th,Ans
id377,10,20,17,0,18,20,,,,,,,,,,,,,,,,,,"0"
id378,6,20,17,0,18,20,,,,,,,,,,,,,,,,,,"1"
id379,10,20,17,0,18,20,9,20,20,,,,,,,,,,,,,,,"1"
id380,6,20,17,0,5,8,10,10,20,,,,,,,,,,,,,,,"1"
id381,10,20,17,0,1,4,17,20,,,,,,,,,,,,,,,,"0"
id382,6,20,17,8,8,13,,,,,,,,,,,,,,,,,,"1"
id383,10,20,17,8,10,0,4,18,20,,,,,,,,,,,,,,,"0"
id384,10,20,17,20,,,,,,,,,,,,,,,,,,,,"0"
id385,10,20,17,20,,,,,,,,,,,,,,,,,,,,"0"
id386,10,20,17,20,20,,,,,,,,,,,,,,,,,,,"0"
id387,10,20,17,20,12,0,8,18,20,,,,,,,,,,,,,,,"1"
id388,6,20,17,4,4,,,,,,,,,,,,,,,,,,,"1"
id389,10,20,17,14,14,1,8,,,,,,,,,,,,,,,,,"1"
id390,10,20,17,14,14,13,13,8,13,6,4,13,,,,,,,,,,,,"1"
id391,10,20,17,14,15,15,14,8,,,,,,,,,,,,,,,,"0"
id392,6,20,13,19,0,8,,,,,,,,,,,,,,,,,,"1"
id393,10,20,13,17,4,13,,,,,,,,,,,,,,,,,,"1"
id394,10,4,8,4,8,,,,,,,,,,,,,,,,,,,"1"
id395,10,4,8,4,8,18,7,0,,,,,,,,,,,,,,,,"1"
id396,10,4,8,10,0,10,20,,,,,,,,,,,,,,,,,"1"
id397,10,4,8,10,8,,,,,,,,,,,,,,,,,,,"1"
id398,10,4,8,9,8,,,,,,,,,,,,,,,,,,,"1"
id399,10,4,8,18,7,8,10,8,,,,,,,,,,,,,,,,"1"
id400,6,4,8,9,20,19,18,20,,,,,,,,,,,,,,,,"1"
id401,6,4,4,12,20,,,,,,,,,,,,,,,,,,,"1"
id402,6,4,10,8,9,14,20,,,,,,,,,,,,,,,,,"1"
id403,10,4,18,7,14,20,,,,,,,,,,,,,,,,,,"1"
id404,6,4,18,20,19,14,,,,,,,,,,,,,,,,,,"1"
id405,10,4,2,7,8,,,,,,,,,,,,,,,,,,,"0"
id406,10,4,19,18,20,8,,,,,,,,,,,,,,,,,,"1"
id407,10,4,19,18,20,4,10,8,,,,,,,,,,,,,,,,"1"
id408,10,4,10,10,0,,,,,,,,,,,,,,,,,,,"1"
id409,6,4,10,10,24,20,20,,,,,,,,,,,,,,,,,"1"
id410,10,4,10,10,14,20,,,,,,,,,,,,,,,,,,"0"
id411,10,4,18,18,7,8,19,4,,,,,,,,,,,,,,,,"0"
id412,10,4,18,18,7,14,20,18,4,13,,,,,,,,,,,,,,"1"
id413,10,4,18,18,4,10,8,,,,,,,,,,,,,,,,,"1"
id414,6,4,19,18,20,12,0,19,18,20,,,,,,,,,,,,,,"1"
id415,10,4,12,20,17,8,,,,,,,,,,,,,,,,,,"1"
id416,6,4,17,0,6,4,17,0,,,,,,,,,,,,,,,,"0"
id417,10,4,17,4,3,14,12,14,,,,,,,,,,,,,,,,"0"
id418,10,4,13,,,,,,,,,,,,,,,,,,,,,"0"
id419,6,4,13,10,0,8,,,,,,,,,,,,,,,,,,"1"
id420,10,4,13,18,0,,,,,,,,,,,,,,,,,,,"1"
id421,6,4,13,25,0,8,,,,,,,,,,,,,,,,,,"1"
id422,6,4,13,9,8,19,18,20,,,,,,,,,,,,,,,,"1"
id423,6,4,13,18,7,14,20,,,,,,,,,,,,,,,,,"1"
id424,10,4,13,19,14,20,,,,,,,,,,,,,,,,,,"1"
id425,10,14,,,,,,,,,,,,,,,,,,,,,,"1"
id426,10,14,8,,,,,,,,,,,,,,,,,,,,,"1"
id427,10,14,20,10,0,,,,,,,,,,,,,,,,,,,"1"
id428,10,14,20,10,0,8,,,,,,,,,,,,,,,,,,"1"
id429,10,14,20,10,0,8,,,,,,,,,,,,,,,,,,"1"
id430,10,14,20,6,0,10,20,,,,,,,,,,,,,,,,,"1"
id431,10,14,20,10,0,19,4,10,8,,,,,,,,,,,,,,,"0"
id432,10,14,20,10,8,18,7,8,13,,,,,,,,,,,,,,,"1"
id433,10,14,20,10,24,14,20,,,,,,,,,,,,,,,,,"1"
id434,10,14,20,6,24,14,20,,,,,,,,,,,,,,,,,"1"
id435,10,14,20,10,14,20,18,4,8,,,,,,,,,,,,,,,"1"
id436,10,14,20,9,8,,,,,,,,,,,,,,,,,,,"1"
id437,10,14,20,18,7,0,,,,,,,,,,,,,,,,,,"1"
id438,10,14,20,18,7,20,20,3,4,13,22,0,,,,,,,,,,,,"1"
id439,10,14,20,25,20,8,,,,,,,,,,,,,,,,,,"1"
id440,10,14,20,18,14,10,20,3,14,20,17,14,,,,,,,,,,,,"1"
id441,10,14,20,2,7,14,20,,,,,,,,,,,,,,,,,"1"
id442,10,14,20,19,18,20,20,7,8,,,,,,,,,,,,,,,"1"
id443,10,14,20,3,14,20,,,,,,,,,,,,,,,,,,"1"
id444,10,14,20,13,0,8,,,,,,,,,,,,,,,,,,"1"
id445,10,14,20,13,4,19,18,20,7,8,,,,,,,,,,,,,,"1"
id446,10,14,20,7,0,8,,,,,,,,,,,,,,,,,,"1"
id447,10,14,20,7,0,13,,,,,,,,,,,,,,,,,,"1"
id448,10,14,20,5,20,13,,,,,,,,,,,,,,,,,,"1"
id449,10,14,20,12,20,8,13,,,,,,,,,,,,,,,,,"1"
id450,6,14,20,12,4,,,,,,,,,,,,,,,,,,,"0"
id451,10,14,14,3,14,,,,,,,,,,,,,,,,,,,"1"
id452,10,14,14,13,0,0,,,,,,,,,,,,,,,,,,"1"
id453,10,14,14,17,8,,,,,,,,,,,,,,,,,,,"1"
id454,10,14,14,17,20,,,,,,,,,,,,,,,,,,,"0"
id455,6,14,14,17,20,,,,,,,,,,,,,,,,,,,"1"
id456,6,14,14,17,20,3,4,13,-58,20,8,8,10,20,,,,,,,,,,"1"
id457,6,14,14,17,20,3,14,,,,,,,,,,,,,,,,,"1"
id458,6,14,10,0,8,,,,,,,,,,,,,,,,,,,"1"
id459,10,14,10,20,6,8,,,,,,,,,,,,,,,,,,"1"
id460,10,14,10,20,6,14,,,,,,,,,,,,,,,,,,"1"
id461,10,14,10,20,18,4,10,8,,,,,,,,,,,,,,,,"1"
id462,10,14,10,20,1,0,13,,,,,,,,,,,,,,,,,"1"
id463,10,14,10,20,12,8,13,,,,,,,,,,,,,,,,,"1"
id464,10,14,10,20,17,4,13,,,,,,,,,,,,,,,,,"1"
id465,10,14,6,4,17,20,,,,,,,,,,,,,,,,,,"1"
id466,10,14,10,14,17,14,,,,,,,,,,,,,,,,,,"1"
id467,10,14,18,7,8,,,,,,,,,,,,,,,,,,,"1"
id468,10,14,25,4,13,8,,,,,,,,,,,,,,,,,,"1"
id469,6,14,2,7,8,18,14,20,,,,,,,,,,,,,,,,"1"
id470,10,14,10,10,0,8,6,8,8,13,,,,,,,,,,,,,,"1"
id471,10,14,10,10,8,,,,,,,,,,,,,,,,,,,"1"
id472,10,14,19,19,4,17,8,,,,,,,,,,,,,,,,,"0"
id473,10,14,19,14,13,0,17,20,,,,,,,,,,,,,,,,"0"
id474,6,14,19,14,13,8,,,,,,,,,,,,,,,,,,"0"
id475,10,14,3,14,12,14,15,15,14,8,,,,,,,,,,,,,,"0"
id476,10,14,19,14,22,0,25,0,,,,,,,,,,,,,,,,"1"
id477,10,14,19,14,22,0,17,20,,,,,,,,,,,,,,,,"0"
id478,10,14,13,14,,,,,,,,,,,,,,,,,,,,"0"
id479,10,14,13,14,1,20,13,3,4,7,0,,,,,,,,,,,,,"0"
id480,10,14,1,4,19,18,20,13,8,,,,,,,,,,,,,,,"0"
id481,6,14,12,0,10,0,18,20,,,,,,,,,,,,,,,,"0"
id482,10,14,12,24,20,13,8,10,4,4,18,7,14,13,,,,,,,,,,"1"
id483,10,14,24,20,1,8,,,,,,,,,,,,,,,,,,"1"
id484,6,14,17,0,8,10,14,20,,,,,,,,,,,,,,,,"1"
id485,10,14,17,20,,,,,,,,,,,,,,,,,,,,"0"
id486,10,14,17,4,12,0,3,4,,,,,,,,,,,,,,,,"0"
id487,10,14,17,4,17,0,,,,,,,,,,,,,,,,,,"0"
id488,10,14,17,14,18,20,,,,,,,,,,,,,,,,,,"0"
id489,10,14,13,10,0,8,,,,,,,,,,,,,,,,,,"1"
id490,10,14,13,10,20,20,17,20,,,,,,,,,,,,,,,,"1"
id491,10,14,13,18,4,8,10,8,,,,,,,,,,,,,,,,"1"
id492,10,14,13,19,0,10,20,19,14,17,4,13,25,20,,,,,,,,,,"1"
id493,10,14,13,1,8,13,8,,,,,,,,,,,,,,,,,"1"
id494,25,0,0,25,0,0,,,,,,,,,,,,,,,,,,"0"
id495,18,0,8,10,14,20,,,,,,,,,,,,,,,,,,"1"
id496,18,0,8,1,14,20,,,,,,,,,,,,,,,,,,"1"
id497,18,0,10,0,,,,,,,,,,,,,,,,,,,,"1"
id498,18,0,10,0,18,0,12,0,,,,,,,,,,,,,,,,"1"
id499,18,0,10,0,13,,,,,,,,,,,,,,,,,,,"0"
id500,18,0,10,8,,,,,,,,,,,,,,,,,,,,"1"
id501,18,0,6,24,14,20,,,,,,,,,,,,,,,,,,"1"
id502,18,0,10,20,18,7,8,10,0,,,,,,,,,,,,,,,"1"
id503,18,0,10,20,13,4,13,,,,,,,,,,,,,,,,,"1"
id504,18,0,10,20,1,0,13,,,,,,,,,,,,,,,,,"1"
id505,18,0,10,20,7,8,13,,,,,,,,,,,,,,,,,"1"
id506,18,0,10,20,12,4,,,,,,,,,,,,,,,,,,"0"
id507,18,0,10,20,12,14,19,18,20,,,,,,,,,,,,,,,"1"
id508,18,0,10,4,1,20,,,,,,,,,,,,,,,,,,"0"
id509,18,0,18,20,,,,,,,,,,,,,,,,,,,,"0"
id510,18,0,25,14,,,,,,,,,,,,,,,,,,,,"0"
id511,18,0,10,10,0,,,,,,,,,,,,,,,,,,,"1"
id512,18,0,10,10,0,10,20,,,,,,,,,,,,,,,,,"1"
id513,18,0,10,10,24,14,10,20,10,0,,,,,,,,,,,,,,"1"
id514,18,0,18,18,14,10,20,,,,,,,,,,,,,,,,,"0"
id515,18,0,19,19,14,,,,,,,,,,,,,,,,,,,"0"
id516,18,0,1,14,17,20,,,,,,,,,,,,,,,,,,"0"
id517,18,0,12,0,25,0,12,0,,,,,,,,,,,,,,,,"0"
id518,18,0,12,20,10,4,,,,,,,,,,,,,,,,,,"1"
id519,18,0,24,20,20,18,20,17,20,,,,,,,,,,,,,,,"0"
id520,25,0,17,0,25,0,17,0,,,,,,,,,,,,,,,,"0"
id521,18,0,17,0,13,8,,,,,,,,,,,,,,,,,,"0"
id522,18,0,13,10,0,10,20,-57,10,4,8,-56,,,,,,,,,,,,"1"
id523,18,0,13,6,24,14,20,,,,,,,,,,,,,,,,,"1"
id524,18,0,13,10,14,20,,,,,,,,,,,,,,,,,,"1"
id525,18,0,13,18,20,20,,,,,,,,,,,,,,,,,,"1"
id526,18,7,8,14,10,0,17,0,8,,,,,,,,,,,,,,,"0"
id527,9,8,10,0,8,,,,,,,,,,,,,,,,,,,"1"
id528,18,7,8,6,0,10,20,,,,,,,,,,,,,,,,,"1"
id529,18,7,8,10,0,10,20,-57,10,4,8,-56,,,,,,,,,,,,"1"
id530,18,7,8,10,0,10,20,8,,,,,,,,,,,,,,,,"0"
id531,9,8,10,8,,,,,,,,,,,,,,,,,,,,"1"
id532,9,8,10,24,20,20,,,,,,,,,,,,,,,,,,"1"
id533,18,7,8,10,20,18,7,8,10,20,,,,,,,,,,,,,,"0"
id534,18,7,8,6,4,10,8,,,,,,,,,,,,,,,,,"1"
id535,18,7,8,6,4,13,,,,,,,,,,,,,,,,,,"1"
id536,18,7,8,18,7,0,,,,,,,,,,,,,,,,,,"1"
id537,9,8,18,7,8,13,,,,,,,,,,,,,,,,,,"1"
id538,9,8,18,7,8,13,,,,,,,,,,,,,,,,,,"1"
id539,18,7,8,18,4,19,18,20,,,,,,,,,,,,,,,,"1"
id540,9,8,3,0,8,,,,,,,,,,,,,,,,,,,"1"
id541,18,7,8,19,0,6,0,20,,,,,,,,,,,,,,,,"0"
id542,18,7,8,19,0,6,0,10,8,,,,,,,,,,,,,,,"1"
id543,18,7,8,2,7,14,20,17,8,19,18,20,,,,,,,,,,,,"1"
id544,18,7,8,19,18,20,,,,,,,,,,,,,,,,,,"1"
id545,18,7,8,10,10,0,17,8,,,,,,,,,,,,,,,,"0"
id546,18,7,8,10,10,0,17,8,,,,,,,,,,,,,,,,"0"
id547,9,8,10,10,0,13,,,,,,,,,,,,,,,,,,"1"
id548,18,7,8,19,18,20,10,4,,,,,,,,,,,,,,,,"1"
id549,18,7,8,19,18,20,10,4,17,20,,,,,,,,,,,,,,"0"
id550,9,8,19,18,20,6,4,13,,,,,,,,,,,,,,,,"1"
id551,9,8,18,18,0,8,-57,13,8,-56,7,0,,,,,,,,,,,,"0"
id552,9,8,18,18,0,8,13,8,,,,,,,,,,,,,,,,"0"
id553,18,7,8,19,18,20,3,14,,,,,,,,,,,,,,,,"1"
id554,18,7,8,19,18,20,13,0,8,,,,,,,,,,,,,,,"1"
id555,9,8,19,18,20,13,8,,,,,,,,,,,,,,,,,"0"
id556,9,8,19,18,20,17,24,14,10,20,,,,,,,,,,,,,,"1"
id557,9,8,3,14,20,,,,,,,,,,,,,,,,,,,"1"
id558,9,8,3,14,20,,,,,,,,,,,,,,,,,,,"1"
id559,9,8,3,14,20,19,4,10,8,13,8,,,,,,,,,,,,,"0"
id560,18,7,8,19,14,18,7,8,19,14,,,,,,,,,,,,,,"0"
id561,18,7,8,1,0,17,0,10,20,18,7,8,19,4,,,,,,,,,,"0"
id562,18,7,8,1,14,20,,,,,,,,,,,,,,,,,,"1"
id563,18,7,8,1,14,20,,,,,,,,,,,,,,,,,,"1"
id564,9,8,12,0,13,,,,,,,,,,,,,,,,,,,"1"
id565,18,7,8,12,8,13,,,,,,,,,,,,,,,,,,"1"
id566,18,7,8,12,4,10,8,17,8,,,,,,,,,,,,,,,"1"
id567,18,7,8,12,4,10,8,17,20,,,,,,,,,,,,,,,"0"
id568,9,8,12,4,9,8,12,4,,,,,,,,,,,,,,,,"0"
id569,18,7,8,12,4,15,15,14,8,,,,,,,,,,,,,,,"0"
id570,18,7,8,12,4,17,20,,,,,,,,,,,,,,,,,"0"
id571,9,8,12,14,19,14,,,,,,,,,,,,,,,,,,"1"
id572,18,7,0,8,13,,,,,,,,,,,,,,,,,,,"1"
id573,18,7,0,10,0,8,9,8,13,,,,,,,,,,,,,,,"1"
id574,18,7,0,10,14,,,,,,,,,,,,,,,,,,,"1"
id575,18,7,0,18,4,13,,,,,,,,,,,,,,,,,,"1"
id576,18,7,0,13,0,8,,,,,,,,,,,,,,,,,,"1"
id577,18,7,0,1,4,17,20,,,,,,,,,,,,,,,,,"0"
id578,9,0,12,0,18,20,17,20,,,,,,,,,,,,,,,,"0"
id579,9,0,13,10,4,13,,,,,,,,,,,,,,,,,,"1"
id580,9,0,13,10,4,13,15,14,13,,,,,,,,,,,,,,,"0"
id581,18,7,20,20,,,,,,,,,,,,,,,,,,,,"0"
id582,9,20,20,,,,,,,,,,,,,,,,,,,,,"0"
id583,18,7,20,20,10,0,13,18,7,8,,,,,,,,,,,,,,"1"
id584,18,7,20,20,10,24,14,20,,,,,,,,,,,,,,,,"1"
id585,9,20,20,6,24,14,20,8,13,,,,,,,,,,,,,,,"1"
id586,18,7,20,20,6,14,20,,,,,,,,,,,,,,,,,"1"
id587,18,7,20,20,18,7,8,10,0,19,4,8,,,,,,,,,,,,"1"
id588,18,7,20,20,18,7,14,10,20,,,,,,,,,,,,,,,"1"
id589,9,20,20,19,0,8,,,,,,,,,,,,,,,,,,"1"
id590,9,20,20,3,0,8,,,,,,,,,,,,,,,,,,"0"
id591,18,7,20,20,2,7,20,20,19,4,10,8,,,,,,,,,,,,"0"
id592,9,20,20,13,8,,,,,,,,,,,,,,,,,,,"0"
id593,9,20,20,24,14,20,,,,,,,,,,,,,,,,,,"0"
id594,18,7,20,4,13,,,,,,,,,,,,,,,,,,,"1"
id595,9,20,6,24,14,20,17,24,14,20,,,,,,,,,,,,,,"1"
id596,18,7,20,18,7,14,20,,,,,,,,,,,,,,,,,"1"
id597,18,7,20,9,8,13,10,14,20,,,,,,,,,,,,,,,"1"
id598,18,7,20,10,10,0,,,,,,,,,,,,,,,,,,"1"
id599,18,7,20,18,18,0,13,,,,,,,,,,,,,,,,,"1"
id600,18,7,20,18,18,7,0,,,,,,,,,,,,,,,,,"1"
id601,18,7,20,19,18,20,9,14,20,,,,,,,,,,,,,,,"1"
id602,18,7,20,18,18,7,8,13,,,,,,,,,,,,,,,,"1"
id603,18,7,20,18,18,4,,,,,,,,,,,,,,,,,,"1"
id604,9,20,12,24,14,20,,,,,,,,,,,,,,,,,,"1"
id605,18,7,14,20,,,,,,,,,,,,,,,,,,,,"0"
id606,9,14,20,,,,,,,,,,,,,,,,,,,,,"0"
id607,9,14,20,8,,,,,,,,,,,,,,,,,,,,"1"
id608,18,7,14,20,6,0,10,20,29,13,4,13,18,4,8,,,,,,,,,"1"
id609,18,7,14,20,6,0,10,20,18,4,8,,,,,,,,,,,,,"1"
id610,18,7,14,20,6,0,13,0,8,,,,,,,,,,,,,,,"0"
id611,18,7,14,20,6,8,,,,,,,,,,,,,,,,,,"1"
id612,9,14,20,10,24,20,20,,,,,,,,,,,,,,,,,"1"
id613,9,14,20,10,24,14,20,,,,,,,,,,,,,,,,,"1"
id614,18,7,14,20,10,24,14,10,20,19,4,10,8,,,,,,,,,,,"0"
id615,9,14,20,10,4,13,,,,,,,,,,,,,,,,,,"1"
id616,9,14,20,18,7,8,,,,,,,,,,,,,,,,,,"1"
id617,18,7,14,20,18,7,0,,,,,,,,,,,,,,,,,"1"
id618,9,14,20,18,7,0,,,,,,,,,,,,,,,,,,"1"
id619,18,7,14,20,18,7,8,13,,,,,,,,,,,,,,,,"1"
id620,9,14,20,19,0,8,,,,,,,,,,,,,,,,,,"1"
id621,18,7,14,20,19,0,8,9,14,20,,,,,,,,,,,,,,"1"
id622,18,7,14,20,19,14,19,18,20,,,,,,,,,,,,,,,"1"
id623,18,7,14,20,13,4,13,,,,,,,,,,,,,,,,,"1"
id624,18,7,14,20,1,0,8,,,,,,,,,,,,,,,,,"1"
id625,18,7,14,20,7,8,25,4,8,,,,,,,,,,,,,,,"1"
id626,18,7,14,20,7,8,13,,,,,,,,,,,,,,,,,"1"
id627,18,7,14,20,7,8,13,,,,,,,,,,,,,,,,,"1"
id628,18,7,14,20,1,20,,,,,,,,,,,,,,,,,,"1"
id629,9,14,20,7,14,20,,,,,,,,,,,,,,,,,,"1"
id630,18,7,14,20,12,8,10,8,6,4,13,,,,,,,,,,,,,"1"
id631,9,14,20,17,24,20,20,,,,,,,,,,,,,,,,,"1"
id632,18,7,8,24,14,20,17,24,14,20,10,8,13,,,,,,,,,,,"1"
id633,18,7,14,14,15,4,13,7,0,20,0,0,,,,,,,,,,,,"1"
id634,18,7,14,10,24,20,20,,,,,,,,,,,,,,,,,"1"
id635,18,7,14,10,20,8,13,,,,,,,,,,,,,,,,,"1"
id636,18,7,14,10,20,6,24,14,20,,,,,,,,,,,,,,,"1"
id637,18,7,14,10,20,2,7,20,20,3,14,10,20,,,,,,,,,,,"1"
id638,18,7,14,10,20,7,8,,,,,,,,,,,,,,,,,"1"
id639,9,14,6,4,13,,,,,,,,,,,,,,,,,,,"1"
id640,18,7,14,15,15,0,8,,,,,,,,,,,,,,,,,"0"
id641,9,14,24,20,20,,,,,,,,,,,,,,,,,,,"1"
id642,18,7,8,17,8,,,,,,,,,,,,,,,,,,,"1"
id643,18,7,8,17,8,0,8,,,,,,,,,,,,,,,,,"1"
id644,18,7,8,17,8,8,25,20,,,,,,,,,,,,,,,,"1"
id645,18,7,8,17,20,1,0,0,,,,,,,,,,,,,,,,"1"
id646,18,7,8,17,20,1,0,0,18,0,13,6,24,14,20,,,,,,,,,"1"
id647,18,7,8,17,14,14,1,8,,,,,,,,,,,,,,,,"1"
id648,9,8,17,14,9,8,17,14,,,,,,,,,,,,,,,,"0"
id649,18,7,8,17,14,15,15,14,8,,,,,,,,,,,,,,,"0"
id650,18,7,8,13,6,0,10,20,,,,,,,,,,,,,,,,"1"
id651,18,7,8,13,10,8,17,14,10,20,,,,,,,,,,,,,,"1"
id652,18,7,8,13,10,4,13,,,,,,,,,,,,,,,,,"0"
id653,18,7,8,13,10,14,10,20,,,,,,,,,,,,,,,,"0"
id654,18,7,8,13,10,14,10,20,18,0,,,,,,,,,,,,,,"1"
id655,18,7,8,13,18,0,10,20,,,,,,,,,,,,,,,,"1"
id656,18,7,8,13,18,7,0,,,,,,,,,,,,,,,,,"1"
id657,18,7,8,13,18,4,8,,,,,,,,,,,,,,,,,"1"
id658,9,8,13,18,4,8,,,,,,,,,,,,,,,,,,"1"
id659,18,7,8,13,18,4,10,8,,,,,,,,,,,,,,,,"1"
id660,18,7,8,13,18,4,13,,,,,,,,,,,,,,,,,"0"
id661,18,7,8,13,25,14,20,,,,,,,,,,,,,,,,,"1"
id662,18,7,8,13,13,24,20,20,18,4,8,,,,,,,,,,,,,"1"
id663,18,7,8,13,15,14,,,,,,,,,,,,,,,,,,"1"
id664,18,7,8,13,24,20,20,,,,,,,,,,,,,,,,,"1"
id665,18,7,8,13,17,0,8,,,,,,,,,,,,,,,,,"1"
id666,18,7,8,13,17,8,6,0,10,20,,,,,,,,,,,,,,"1"
id667,18,20,8,6,0,17,0,,,,,,,,,,,,,,,,,"1"
id668,18,20,20,6,0,10,20,,,,,,,,,,,,,,,,,"1"
id669,18,20,20,9,8,,,,,,,,,,,,,,,,,,,"1"
id670,25,20,20,25,20,20,18,7,8,8,,,,,,,,,,,,,,"0"
id671,18,20,20,13,8,13,,,,,,,,,,,,,,,,,,"1"
id672,18,20,6,0,19,0,,,,,,,,,,,,,,,,,,"1"
id673,18,20,6,8,,,,,,,,,,,,,,,,,,,,"0"
id674,25,20,10,8,,,,,,,,,,,,,,,,,,,,"0"
id675,18,20,6,20,,,,,,,,,,,,,,,,,,,,"0"
id676,18,20,6,14,10,20,,,,,,,,,,,,,,,,,,"0"
id677,18,20,10,14,18,7,8,12,14,,,,,,,,,,,,,,,"0"
id678,18,20,6,14,18,20,,,,,,,,,,,,,,,,,,"0"
id679,18,20,18,20,12,20,,,,,,,,,,,,,,,,,,"0"
id680,18,20,25,20,12,4,,,,,,,,,,,,,,,,,,"1"
id681,18,20,18,20,12,4,17,20,,,,,,,,,,,,,,,,"0"
id682,18,20,10,10,0,17,8,,,,,,,,,,,,,,,,,"0"
id683,18,20,15,15,0,8,,,,,,,,,,,,,,,,,,"0"
id684,18,20,3,4,13,8,,,,,,,,,,,,,,,,,,"0"
id685,18,20,19,14,14,1,20,,,,,,,,,,,,,,,,,"1"
id686,18,20,19,14,14,17,8,8,,,,,,,,,,,,,,,,"1"
id687,18,20,19,14,17,0,8,10,8,,,,,,,,,,,,,,,"1"
id688,18,20,15,0,6,4,19,4,8,,,,,,,,,,,,,,,"1"
id689,18,20,15,8,8,3,14,,,,,,,,,,,,,,,,,"1"
id690,18,20,15,8,8,3,14,8,7,0,13,,,,,,,,,,,,,"1"
id691,18,20,1,4,19,4,,,,,,,,,,,,,,,,,,"0"
id692,18,20,1,4,17,20,,,,,,,,,,,,,,,,,,"0"
id693,18,20,12,0,18,4,17,20,,,,,,,,,,,,,,,,"0"
id694,18,20,12,20,,,,,,,,,,,,,,,,,,,,"0"
id695,18,20,12,20,20,25,20,,,,,,,,,,,,,,,,,"0"
id696,18,20,17,8,15,15,20,,,,,,,,,,,,,,,,,"1"
id697,18,20,17,4,2,7,8,6,0,20,,,,,,,,,,,,,,"0"
id698,18,4,8,10,0,10,20,,,,,,,,,,,,,,,,,"0"
id699,18,4,8,10,0,10,20,,,,,,,,,,,,,,,,,"1"
id700,18,4,8,10,0,19,18,20,7,8,,,,,,,,,,,,,,"1"
id701,18,4,8,10,8,,,,,,,,,,,,,,,,,,,"1"
id702,18,4,8,18,0,13,,,,,,,,,,,,,,,,,,"1"
id703,18,4,8,9,8,10,0,,,,,,,,,,,,,,,,,"1"
id704,18,4,8,18,7,14,,,,,,,,,,,,,,,,,,"1"
id705,18,4,8,9,8,13,,,,,,,,,,,,,,,,,,"1"
id706,18,4,8,9,8,13,18,7,8,10,8,,,,,,,,,,,,,"1"
id707,18,4,8,18,7,8,13,19,4,10,8,,,,,,,,,,,,,"0"
id708,18,4,8,25,14,20,-57,6,0,8,18,7,0,-56,,,,,,,,,,"0"
id709,18,4,8,2,7,14,20,,,,,,,,,,,,,,,,,"1"
id710,18,4,8,19,14,,,,,,,,,,,,,,,,,,,"1"
id711,18,4,8,13,4,13,6,0,15,15,8,,,,,,,,,,,,,"1"
id712,18,4,8,5,20,,,,,,,,,,,,,,,,,,,"1"
id713,18,4,8,1,20,19,18,20,,,,,,,,,,,,,,,,"1"
id714,18,4,8,1,20,13,,,,,,,,,,,,,,,,,,"1"
id715,18,4,8,24,14,20,,,,,,,,,,,,,,,,,,"1"
id716,18,4,4,17,20,18,20,,,,,,,,,,,,,,,,,"1"
id717,18,4,4,17,20,18,20,12,0,13,,,,,,,,,,,,,,"1"
id718,18,4,10,0,8,8,2,7,8,,,,,,,,,,,,,,,"1"
id719,18,4,10,8,19,0,13,,,,,,,,,,,,,,,,,"1"
id720,18,4,10,10,0,10,20,,,,,,,,,,,,,,,,,"0"
id721,18,4,10,10,24,14,10,20,19,4,10,8,,,,,,,,,,,,"0"
id722,18,4,19,19,14,,,,,,,,,,,,,,,,,,,"1"
id723,18,4,19,18,20,24,0,10,20,,,,,,,,,,,,,,,"1"
id724,18,4,13,0,10,0,,,,,,,,,,,,,,,,,,"1"
id725,18,4,13,4,10,0,,,,,,,,,,,,,,,,,,"1"
id726,18,4,17,8,5,20,,,,,,,,,,,,,,,,,,"1"
id727,25,4,13,-58,8,13,,,,,,,,,,,,,,,,,,"1"
id728,25,4,13,10,0,8,,,,,,,,,,,,,,,,,,"1"
id729,18,4,13,10,24,14,,,,,,,,,,,,,,,,,,"1"
id730,18,4,13,18,0,0,,,,,,,,,,,,,,,,,,"1"
id731,18,4,13,18,7,20,,,,,,,,,,,,,,,,,,"1"
id732,18,4,13,19,0,10,20,,,,,,,,,,,,,,,,,"1"
id733,18,4,13,3,4,13,,,,,,,,,,,,,,,,,,"1"
id734,18,4,13,15,0,8,,,,,,,,,,,,,,,,,,"1"
id735,25,4,13,7,0,13,,,,,,,,,,,,,,,,,,"1"
id736,18,4,13,12,14,13,10,0,,,,,,,,,,,,,,,,"1"
id737,18,4,13,12,14,13,24,14,20,6,14,,,,,,,,,,,,,"1"
id738,18,4,13,24,14,20,,,,,,,,,,,,,,,,,,"1"
id739,25,14,20,10,0,,,,,,,,,,,,,,,,,,,"1"
id740,18,14,20,6,14,20,19,4,10,8,,,,,,,,,,,,,,"0"
id741,18,14,20,25,0,8,,,,,,,,,,,,,,,,,,"1"
id742,18,14,20,25,14,,,,,,,,,,,,,,,,,,,"1"
id743,18,14,20,2,7,14,20,,,,,,,,,,,,,,,,,"1"
id744,18,14,20,19,14,20,,,,,,,,,,,,,,,,,,"0"
id745,18,14,20,17,24,14,20,,,,,,,,,,,,,,,,,"1"
id746,18,14,3,0,19,18,20,,,,,,,,,,,,,,,,,"0"
id747,18,14,10,10,20,17,8,,,,,,,,,,,,,,,,,"0"
id748,18,14,13,14,7,4,13,,,,,,,,,,,,,,,,,"1"
id749,18,14,1,0,,,,,,,,,,,,,,,,,,,,"1"
